fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2025-02-11,2024,7,SUPERIOR,vid,SUPERIOR,71682046,0,PASAS,PASERO,CAUCETE,ZARATE D,23.0,333.7391304,15520.0,7844,7676,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-02-11,2024,7,FLAME,vid,FLAME,71682043,0,PASAS,PASERO,TORO,TORO,465.0,16.5,14660.0,6980.0,7680.0,Migración Excel · ORIGEN=TERCEROS · FINCA=SANCHEZ · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-11,2024,7,FLAME,vid,FLAME,71682045,0,PASAS,PASERO,TORCUATO,TORCUATO,24.0,361.6666667,16760.0,8080.0,8680,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-11,2024,7,FLAME,vid,FLAME,71682047,0,PASAS,PASERO,TORO,TORO,461.0,15.92190889,14320.0,6980.0,7340,Migración Excel · ORIGEN=TERCEROS · FINCA=SANCHEZ · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-12,2024,7,FLAME,vid,FLAME,71682048,0,PASAS,PASERO,CAUCETE,ZARATE D,23.0,317.0434783,15120.0,7828,7292,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-12,2024,7,7,vid,FLAME,71682051,0,PASAS,PASERO,FINCA,FINCA,1047.0,16.0,,,16752,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=7
2025-02-12,2024,7,FLAME,vid,FLAME,71682049,0,PASAS,PASERO,TORO,TORO,275.0,17.08363636,11200.0,6502.0,4698.0,Migración Excel · ORIGEN=TERCEROS · FINCA=SANCHEZ · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-12,2024,7,FLAME,vid,FLAME,71682050,0,PASAS,PASERO,TORCUATO,TORCUATO,24.0,379.1666667,17180.0,8080.0,9100,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-13,2024,7,FLAME,vid,FLAME,71682052,0,PASAS,PASERO,CAUCETE,ZARATE D,21.0,364,15400.0,7756,7644,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-13,2024,7,SY RG,vid,SYRAH,71682053,11414224,BODEGA,BRIX,LUIS F,ERASO,350.0,18.28571429,13000.0,6600.0,6400,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SY RG
